type,subtype,item_category_id
方便速食,方便面,232
方便速食,方便粉丝,233
方便速食,蛋制品,234
方便速食,八宝粥,235
方便速食,罐头食品,236
方便速食,火腿肠,330
方便速食,其他,333
厨卫清洁,洗洁精,267
厨卫清洁,油污净,273
厨卫清洁,洁厕剂,274
厨卫清洁,浴室清洁,275
厨卫清洁,管道疏通,276
厨卫清洁,洗衣粉,329
居室清洁,地板清洁,278
居室清洁,灭蟑驱虫?,279
居室清洁,空气清新,280
居室清洁,家具清洁,281
居室清洁,玻璃清洁,282
整理收纳,挂钩/粘钩,283
整理收纳,收纳盒,284
整理收纳,防尘罩,285
整理收纳,整理架,286
整理收纳,压缩袋,287
一次性用品,垃圾袋,268
一次性用品,保鲜袋,269
一次性用品,保鲜膜,270
一次性用品,牙签,271
一次性用品,一次性鞋套,272
一次性用品,一次性手套,277
经管励志,管理,341
经管励志,金融与投资,342
经管励志,经济,343
经管励志,励志与成功,344
人文社科,历史心理学,345
人文社科,社会科学,346
人文社科,法律文化,347
手机通讯,手机,351
手机通讯,对讲机,352
手机通讯,以旧换新,353
手机通讯,手机维修,354
手机通讯,数据线,356
手机配件,手机存储卡,355
手机配件,充电器,357
手机配件,手机耳机,10328
手机配件,蓝牙耳机,10402
摄影摄像,数码相机,358
摄影摄像,单电/微单相机,359
摄影摄像,拍立得运动相机,360
生活电器,电风扇,362
生活电器,加湿器,363
生活电器,净水设备,364
生活电器,吸尘器,10304
生活电器,扫地机器人,10329
生活电器,除螨仪,10428
生活电器,饮水机,10437
书房家具,书架,10271
书房家具,书桌,10272
书房家具,电竞桌,10371
书房家具,电脑桌,10372
二手奢侈品,二手钟表,10276
二手影音娱乐,二手耳机/耳麦,10275
二手手机通讯,二手手机,10273
二手电脑整机,二手笔记本,10274
五金工具,劳防用品,10295
体育用品,其他体育用品,10282
体育用品,篮球,10381
体育用品,篮球包,10382
体育用品,羽毛球包,10394
体育用品,裁判用品,10406
体育用品,足球,10410
体育用品,高尔夫球包,10440
保健器械,养生器械,10287
保健器械,家庭护理,10319
保健器械,理疗仪,10365
健身训练,其他器械,10283
储物家具,层架/置物架,10321
储物家具,鞋架,10431
儿童家具,儿童床,10280
内衣,睡衣/家居服,10377
功能箱包,旅行配件,10343
动漫玩具,卡通周边,10296
